"doc_id","new_workflow_title","pack_type","carrier_or_type","prs_and_locs","contact_pr","approve_ehr_enc","assign_to_completer","hb","assign_to_completer_2","qa","assign_to_completer_3","demographics","assign_to_completer_4","dl_charges","code","assign_to_completer_5","key_charges","assign_to_completer_6","first_review","assign_to_completer_7","contact_pr_2","pndg_pr_k1","process","assign_to_completer_8","pndg_pr_p","pndg_eom","post_process_rvw","hb_2","second_pass","assign_to_completer_9","manager_rvw"
"1","","","","","13","6","","","","7","","8","","9","10","","11","","12","","13","14","15","","16","17","18","","19","","20"
"2","ANES - I/M/M","ANES","","24","Log Rec","","","","","","","BLAIRP
CYNTHIAM
JENNIFERA","","","CHARLENE
JERRILYN
KIM","","CHARLENE
JENNIFERA
JERRILYN","","","","Log Rec","Receiving","CHARLENE
JERRILYN
KIM","","Receiving","","","","","",""
"3","ANES - C/M/M","ANES","","42","Log Rec","","","","","","","BLAIRP
CYNTHIAM
JENNIFERA","","","CHARLENE
JERRILYN
KIM","","CHARLENE
JENNIFERA
JERRILYN","","","","Log Rec","Receiving","CHARLENE
JERRILYN
KIM","","Receiving","","","","","",""
"4","ANES - I/M/M","ANES","","68-AG","Log Rec","","","","","","","BLAIRP
CYNTHIAM
JENNIFERA","","","CHARLENE
JERRILYN
KIM","","CHARLENE
CYNTHIAM
JENNIFERA
JERRILYN","","","","Log Rec","Receiving","CYNTHIAM
JENNIFERA
JERRILYN
KIM","","Receiving","","","","","",""
"5","ANES - I/M/M","ANES","","68-AN","Log Rec","","","HB","","","","BLAIRP
CYNTHIAM
JENNIFERA","","","CHARLENE
JERRILYN
KIM","","CHARLENE
CYNTHIAM
JENNIFERA
JERRILYN","","","","Log Rec","Receiving","CHARLENE
JENNIFERA
JERRILYN
KIM","","Receiving","","","","","",""
"6","EKG - DL/Bi-Weekly","EKG","","44","Log Rec","","","","","","","BLAIRP
CYNTHIAM
VICKIEK","","FRT OFC","","","","","JENNIFERA","","Log Rec","Receiving","JENNIFERA","","Receiving","","","","","",""
"7","EKG - DL/Weekly","EKG","","68","Log Rec","","","","","","","","","FRT OFC","","","","","CYNTHIAM
JENNIFERA
KIM","","Log Rec","Receiving","JENNIFERA
KIM","","Receiving","","","","","",""
"8","HOSP - I/P/M","HOSP","","03","Log Rec","","","","","","","","","","","","","","LESLIE
SHANNONS","","Log Rec","Receiving","LESLIE
SHANNONS","","Receiving","","","","","",""
"9","HOSP - I/P/M","HOSP","","04-ESURG","Log Rec","","","","","","","","","","","","","","LESLIE
SHANNONS","","Log Rec","Receiving","LESLIE
SHANNONS","","Receiving","","","","","",""
"10","HOSP - I/P/M","HOSP","","04-OSURG","Log Rec","","","","","","","","","","","","","","CHARLENE
LESLIE
SHANNONS","","Log Rec","Receiving","CHARLENE
LESLIE
SHANNONS","","Receiving","","","","","",""
"11","HOSP - I/P/M","HOSP","","05","Log Rec","","","","","","","","","","","","","","LESLIE
SHANNONS","","Log Rec","Receiving","LESLIE
SHANNONS","","Receiving","","","","","",""
"12","HOSP - I/P/P","HOSP","","10","Log Rec","","","","","","","","","","","","","","","","Log Rec","Receiving","","","Receiving","","","","","",""
"13","HOSP - I/P/P","HOSP","","18","Log Rec","","","","","","","","","","","","","","","","Log Rec","Receiving","","","Receiving","","","","","",""
"14","HOSP - I/P/P","HOSP","","38","Log Rec","","","","","","","","","","","","","","","","Log Rec","Receiving","","","Receiving","","","","","",""
"15","HOSP - C/M/M","HOSP","","40","Log Rec","","","","","","","","","","","","KRISTENM
MOLLYB","","","","Log Rec","Receiving","CHARLENE
LESLIE
SHANNONS","","Receiving","","","","","",""
"16","HOSP - I/M/M","HOSP","","52","Log Rec","","","","","","","","","","","","KRISTENM
MOLLYB","","","","Log Rec","Receiving","LESLIE
SHANNONS","","Receiving","","","","","",""
"17","HOSP - I/P/M","HOSP","","56","Log Rec","","","","","","","","","","","","","","KRISTENM
LESLIE
MOLLYB
SHANNONS","","Log Rec","Receiving","LESLIE
MOLLYB
SHANNONS","","Receiving","","","","","",""
"18","HOSP - I/P/P","HOSP","","64","Log Rec","","","","","","","","","","","","","","","","Log Rec","Receiving","","","Receiving","","","","","",""
"19","HOSP - I/P/P","HOSP","","68-CV","Log Rec","","","","","","","","","","","","","","","","Log Rec","Receiving","","","Receiving","","","","","",""
"20","HOSP - I/P/P","HOSP","","68-EN","Log Rec","","","","","","","","","","","","","","","","Log Rec","Receiving","","","Receiving","","","","","",""
"21","HOSP - I/P/P","HOSP","","68-F1","Log Rec","","","","","","","","","","","","","","","","Log Rec","Receiving","","","Receiving","","","","","",""
