doc_id,date_year,batch_number,date_full,box_number,folder01,folder02,folder03,folder04
,0,MISC,00/00/0000,197550031,0000 ACA BATCHES,MISC - 00/00/0000,-,-
,2015,38423,4/7/2015,197550030,2015 ACA BATCHES,38423 - 04/07/2015,-,-
,2015,38508,4/21/2015,197550030,2015 ACA BATCHES,38508 - 04/21/2015,-,-
,2015,38347,3/24/2015,197550030,2015 ACA BATCHES,38347 - 03/24/2015,-,-
,2015,38342,3/23/2015,197550030,2015 ACA BATCHES,38342 - 03/23/2015,-,-
,2015,38456,4/10/2015,197550030,2015 ACA BATCHES,38456 - 04/10/2015,-,-
,2015,38201,3/2/2015,197550030,2015 ACA BATCHES,38201 - 03/02/2015,-,-
,2015,38326,3/20/2015,197550030,2015 ACA BATCHES,38326 - 03/20/2015,-,-
,2015,38421,4/7/2015,197550030,2015 ACA BATCHES,38421 - 04/07/2015,-,-
,2015,38422,4/7/2015,197550030,2015 ACA BATCHES,38422 - 04/07/2015,-,-
,2015,38598,5/5/2015,197550030,2015 ACA BATCHES,38598 - 05/05/2015,-,-
,2015,38379,3/30/2015,197550030,2015 ACA BATCHES,38379 - 03/30/2015,-,-
,2015,38553,4/28/2015,197550030,2015 ACA BATCHES,38553 - 04/28/2015,-,-
,2015,38365,3/25/2015,197550030,2015 ACA BATCHES,38365 - 03/25/2015,-,-
,0,MISC,00/00/0000,197550030,0000 ACA BATCHES,MISC - 00/00/0000,-,-
,2015,38520,4/22/2015,197550030,2015 ACA BATCHES,38520 - 04/22/2015,-,-
,2015,38341,3/23/2015,197550030,2015 ACA BATCHES,38341 - 03/23/2015,-,-
,2015,38512,4/22/2015,197550030,2015 ACA BATCHES,38512 - 04/22/2015,-,-
,2015,38617,5/8/2015,197550030,2015 ACA BATCHES,38617 - 05/08/2015,-,-
,2015,38281,3/13/2015,197550030,2015 ACA BATCHES,38281 - 03/13/2015,-,-
,2015,38343,3/23/2015,197550030,2015 ACA BATCHES,38343 - 03/23/2015,-,-
,2015,38393,3/31/2015,197550030,2015 ACA BATCHES,38393 - 03/31/2015,-,-
,2015,38357,3/24/2015,197550030,2015 ACA BATCHES,38357 - 03/24/2015,-,-
,2015,38470,4/14/2015,197550030,2015 ACA BATCHES,38470 - 04/14/2015,-,-
,2015,38183,2/25/2015,197550030,2015 ACA BATCHES,38183 - 02/25/2015,-,-
,2015,5330,12/28/2015,197550029,2015 ACA BATCHES,5330 - 12/28/2015,-,-
,2015,5329,12/24/2015,197550029,2015 ACA BATCHES,5329 - 12/24/2015,-,-
,2015,5328,12/23/2015,197550029,2015 ACA BATCHES,5328 - 12/23/2015,-,-
,2015,5327,12/22/2015,197550029,2015 ACA BATCHES,5327 - 12/22/2015,-,-
,2015,5326,12/21/2015,197550029,2015 ACA BATCHES,5326 - 12/21/2015,-,-
,2015,5325,12/18/2015,197550029,2015 ACA BATCHES,5325 - 12/18/2015,-,-
,2015,5324,12/17/2015,197550029,2015 ACA BATCHES,5324 - 12/17/2015,-,-
,2015,5323,12/15/2015,197550029,2015 ACA BATCHES,5323 - 12/15/2015,-,-
,2015,5322,12/15/2015,197550029,2015 ACA BATCHES,5322 - 12/15/2015,-,-
,2015,5321,12/15/2015,197550029,2015 ACA BATCHES,5321 - 12/15/2015,-,-
,2015,5319,12/11/2015,197550029,2015 ACA BATCHES,5319 - 12/11/2015,-,-
,2015,5318,12/10/2015,197550029,2015 ACA BATCHES,5318 - 12/10/2015,-,-
,2015,5317,12/10/2015,197550029,2015 ACA BATCHES,5317 - 12/10/2015,-,-
,2015,5316,12/8/2015,197550029,2015 ACA BATCHES,5316 - 12/08/2015,-,-
,2015,5320,12/14/2015,197550029,2015 ACA BATCHES,5320 - 12/14/2015,-,-
,2015,5315,12/14/2015,197550029,2015 ACA BATCHES,5315 - 12/14/2015,-,-
,2015,5314,12/14/2015,197550029,2015 ACA BATCHES,5314 - 12/14/2015,-,-
,2015,5336,12/31/2015,197550029,2015 ACA BATCHES,5336 - 12/31/2015,-,-
,2015,5335,12/30/2015,197550029,2015 ACA BATCHES,5335 - 12/30/2015,-,-
,2015,5334,12/29/2015,197550029,2015 ACA BATCHES,5334 - 12/29/2015,-,-
,2015,5333,12/29/2015,197550029,2015 ACA BATCHES,5333 - 12/29/2015,-,-
,2015,5332,12/29/2015,197550029,2015 ACA BATCHES,5332 - 12/29/2015,-,-
,2015,5331,12/28/2015,197550029,2015 ACA BATCHES,5331 - 12/28/2015,-,-
,2015,5313,12/7/2015,197550029,2015 ACA BATCHES,5313 - 12/07/2015,-,-
,2015,5312,12/7/2015,197550029,2015 ACA BATCHES,5312 - 12/07/2015,-,-
,2015,5311,12/4/2015,197550029,2015 ACA BATCHES,5311 - 12/04/2015,-,-
,2015,5310,12/4/2015,197550029,2015 ACA BATCHES,5310 - 12/04/2015,-,-
,2015,5309,12/3/2015,197550029,2015 ACA BATCHES,5309 - 12/03/2015,-,-
,2015,5308,12/3/2015,197550029,2015 ACA BATCHES,5308 - 12/03/2015,-,-
,2015,5307,12/2/2015,197550029,2015 ACA BATCHES,5307 - 12/02/2015,-,-
,2015,5306,12/1/2015,197550029,2015 ACA BATCHES,5306 - 12/01/2015,-,-
,2015,5305,12/1/2015,197550029,2015 ACA BATCHES,5305 - 12/01/2015,-,-
,2015,5299,11/27/2015,197550028,2015 ACA BATCHES,5299 - 11/27/2015,-,-
,2015,5300,11/27/2015,197550028,2015 ACA BATCHES,5300 - 11/27/2015,-,-
,2015,5301,11/30/2015,197550028,2015 ACA BATCHES,5301 - 11/30/2015,-,-
,2015,5302,11/30/2015,197550028,2015 ACA BATCHES,5302 - 11/30/2015,-,-
,2015,5303,12/1/2015,197550028,2015 ACA BATCHES,5303 - 12/01/2015,-,-
,2015,5304,12/1/2015,197550028,2015 ACA BATCHES,5304 - 12/01/2015,-,-
,2015,5298,11/27/2015,197550028,2015 ACA BATCHES,5298 - 11/27/2015,-,-
,2015,5297,11/25/2015,197550028,2015 ACA BATCHES,5297 - 11/25/2015,-,-
,2015,5296,11/24/2015,197550028,2015 ACA BATCHES,5296 - 11/24/2015,-,-
,2015,5295,11/24/2015,197550028,2015 ACA BATCHES,5295 - 11/24/2015,-,-
,2015,5294,11/24/2015,197550028,2015 ACA BATCHES,5294 - 11/24/2015,-,-
,2015,5293,11/23/2015,197550028,2015 ACA BATCHES,5293 - 11/23/2015,-,-
,2015,5292,11/23/2015,197550028,2015 ACA BATCHES,5292 - 11/23/2015,-,-
,2015,5291,11/20/2015,197550028,2015 ACA BATCHES,5291 - 11/20/2015,-,-
,2015,5290,11/19/2015,197550028,2015 ACA BATCHES,5290 - 11/19/2015,-,-
,2015,5289,11/18/2015,197550028,2015 ACA BATCHES,5289 - 11/18/2015,-,-
,2015,5288,11/17/2015,197550028,2015 ACA BATCHES,5288 - 11/17/2015,-,-
,2015,5287,11/17/2015,197550028,2015 ACA BATCHES,5287 - 11/17/2015,-,-
,2015,5286,11/16/2015,197550028,2015 ACA BATCHES,5286 - 11/16/2015,-,-
,2015,5285,11/13/2015,197550028,2015 ACA BATCHES,5285 - 11/13/2015,-,-
,2015,5284,11/12/2015,197550028,2015 ACA BATCHES,5284 - 11/12/2015,-,-
,2015,5283,11/10/2015,197550028,2015 ACA BATCHES,5283 - 11/10/2015,-,-
,2015,5282,11/10/2015,197550028,2015 ACA BATCHES,5282 - 11/10/2015,-,-
,2015,5281,11/10/2015,197550028,2015 ACA BATCHES,5281 - 11/10/2015,-,-
,2015,5280,11/10/2015,197550028,2015 ACA BATCHES,5280 - 11/10/2015,-,-
,2015,5279,11/9/2015,197550028,2015 ACA BATCHES,5279 - 11/09/2015,-,-
,2015,5278,11/9/2015,197550028,2015 ACA BATCHES,5278 - 11/09/2015,-,-
,2015,5277,11/6/2015,197550028,2015 ACA BATCHES,5277 - 11/06/2015,-,-
,2015,5276,11/6/2015,197550028,2015 ACA BATCHES,5276 - 11/06/2015,-,-
,2015,5275,11/6/2015,197550028,2015 ACA BATCHES,5275 - 11/06/2015,-,-
,2015,5272,11/5/2015,197550028,2015 ACA BATCHES,5272 - 11/05/2015,-,-
,2015,5271,11/4/2015,197550028,2015 ACA BATCHES,5271 - 11/04/2015,-,-
,2015,5270,11/4/2015,197550028,2015 ACA BATCHES,5270 - 11/04/2015,-,-
,2015,5269,11/3/2015,197550028,2015 ACA BATCHES,5269 - 11/03/2015,-,-
,2015,5274,11/5/2015,197550028,2015 ACA BATCHES,5274 - 11/05/2015,-,-
,2015,5273,11/5/2015,197550028,2015 ACA BATCHES,5273 - 11/05/2015,-,-
,2015,5268,11/3/2015,197550028,2015 ACA BATCHES,5268 - 11/03/2015,-,-
,2015,5267,11/3/2015,197550028,2015 ACA BATCHES,5267 - 11/03/2015,-,-
,2015,5266,11/3/2015,197550028,2015 ACA BATCHES,5266 - 11/03/2015,-,-
,2015,5265,11/2/2015,197550028,2015 ACA BATCHES,5265 - 11/02/2015,-,-
,2015,5264,11/2/2015,197550028,2015 ACA BATCHES,5264 - 11/02/2015,-,-
,2015,5263,10/30/2015,197550028,2015 ACA BATCHES,5263 - 10/30/2015,-,-
,2015,5262,10/30/2015,197550028,2015 ACA BATCHES,5262 - 10/30/2015,-,-
,2015,5261,10/29/2015,197550027,2015 ACA BATCHES,5261 - 10/29/2015,-,-
,2015,5260,10/29/2015,197550027,2015 ACA BATCHES,5260 - 10/29/2015,-,-
,2015,5259,10/29/2015,197550027,2015 ACA BATCHES,5259 - 10/29/2015,-,-
,2015,5258,10/29/2015,197550027,2015 ACA BATCHES,5258 - 10/29/2015,-,-
,2015,5257,10/28/2015,197550027,2015 ACA BATCHES,5257 - 10/28/2015,-,-
,2015,5256,10/27/2015,197550027,2015 ACA BATCHES,5256 - 10/27/2015,-,-
,2015,5255,10/27/2015,197550027,2015 ACA BATCHES,5255 - 10/27/2015,-,-
,2015,5254,10/27/2015,197550027,2015 ACA BATCHES,5254 - 10/27/2015,-,-
,2015,5253,10/27/2015,197550027,2015 ACA BATCHES,5253 - 10/27/2015,-,-
,2015,5252,10/26/2015,197550027,2015 ACA BATCHES,5252 - 10/26/2015,-,-
,2015,5251,10/23/2015,197550027,2015 ACA BATCHES,5251 - 10/23/2015,-,-
,2015,5250,10/23/2015,197550027,2015 ACA BATCHES,5250 - 10/23/2015,-,-
,2015,5249,10/22/2015,197550027,2015 ACA BATCHES,5249 - 10/22/2015,-,-
,2015,5248,10/22/2015,197550027,2015 ACA BATCHES,5248 - 10/22/2015,-,-
